roundness,aspect_ratio,narrow_factor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,mean_R,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_B,contrast,correlation,energy,homogeneity,class
0.2434,1.2315,1.231,0.178,0.001335,0.000204,0.000005,0,0,79.917,4.7895,14.53,14.193,10.739,0.52315,0.07176,3.5485,20.136,0.10141,0.99215,0.32557,0.9512,2
0.23797,1.2707,1.1247,0.18422,0.001875,0.000599,0.000002,0,0,76.057,3.7924,11.716,14.926,9.9031,0.36539,0.26359,3.9719,23.833,0.11302,0.99288,0.30337,0.94659,2
0.28791,1.2835,1.1365,0.17977,0.001932,0.000074,0.000003,0,0,85.745,5.8309,12.129,15.022,11.262,-0.32039,-0.38791,2.9093,15.112,0.11459,0.99131,0.30868,0.94663,2
0.2364,1.217,1.2269,0.18017,0.001221,0.000321,0.000001,0,0,80.624,0.96233,13.928,14.089,5.582,0.11481,-0.29954,8.651,99.575,0.082153,0.99378,0.36079,0.96063,2
0.3075,1.2038,1.1461,0.17286,0.001005,0.000108,0,0,0,74.642,1.5844,12.666,14.326,6.9057,0.31571,0.10277,6.9186,65.419,0.14965,0.98991,0.26113,0.92843,2
0.2104,1.2468,1.1419,0.17445,0.001434,0.000018,0,0,0,68.83,9.5056,14.621,15.328,12.887,0.54296,0.13494,1.9699,8.5401,0.13189,0.99147,0.28251,0.93648,2
0.28865,1.0818,1.2383,0.17269,0.000183,0.000353,0.000001,0,0,68.195,4.929,12.178,13.503,9.7708,0.29527,0.19984,3.1587,16.832,0.11131,0.99306,0.31376,0.94668,2
0.25152,1.1776,1.2078,0.17399,0.000795,0.000116,0.000001,0,0,75.545,10.666,13.625,14.76,13.68,0.46369,0.12541,1.8876,8.1103,0.12332,0.9915,0.29473,0.94082,2
0.20262,1.2959,1.1623,0.18374,0.002171,0.000045,0.000004,0,0,77.234,1.7491,15.974,14.996,7.4285,0.29399,-0.15593,6.4753,57.923,0.11024,0.99191,0.30986,0.94644,2
0.30118,1.1097,1.1832,0.17173,0.000317,0.000444,0.000002,0,0,69.282,3.8078,12.507,14.733,9.1434,0.38991,0.12082,3.9358,24.733,0.11029,0.99316,0.3199,0.94754,2
